starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	0	0
Fri Sep 30 16:05:03 2022	1664568303	0	0	1	0
